2024-07-30 16:51:34 | INFO | gradio_web_server | args: Namespace(host='127.0.0.1', port=None, share=True, controller_url='http://localhost:21001', concurrency_count=10, model_list_mode='once', moderate=False, show_terms_of_use=False, register_api_endpoint_file=None, gradio_auth_path=None, gradio_root_path=None, use_remote_storage=False)
2024-07-30 16:51:34 | INFO | gradio_web_server | All models: []
2024-07-30 16:51:34 | INFO | gradio_web_server | Visible models: []
2024-07-30 16:51:34 | ERROR | stderr | /home/aac/anaconda3/envs/kai_vllm/lib/python3.11/site-packages/gradio/components/dropdown.py:181: UserWarning: The value passed into gr.Dropdown() is not in the list of choices. Please update the list of choices to include:  or set allow_custom_value=True.
2024-07-30 16:51:34 | ERROR | stderr |   warnings.warn(
2024-07-30 16:51:34 | INFO | stdout | Running on local URL:  http://127.0.0.1:7860
2024-07-30 16:51:35 | INFO | stdout | Running on public URL: https://e3cc14828725309c56.gradio.live
2024-07-30 16:51:35 | INFO | stdout | 
2024-07-30 16:51:35 | INFO | stdout | This share link expires in 72 hours. For free permanent hosting and GPU upgrades, run `gradio deploy` from Terminal to deploy to Spaces (https://huggingface.co/spaces)
2024-07-30 16:51:43 | INFO | stdout | Keyboard interruption in main thread... closing server.
2024-07-30 16:51:43 | INFO | stdout | Killing tunnel 127.0.0.1:7860 <> https://e3cc14828725309c56.gradio.live
2024-07-30 16:53:45 | INFO | gradio_web_server | args: Namespace(host='127.0.0.1', port=None, share=True, controller_url='http://localhost:21001', concurrency_count=10, model_list_mode='once', moderate=False, show_terms_of_use=False, register_api_endpoint_file=None, gradio_auth_path=None, gradio_root_path=None, use_remote_storage=False)
2024-07-30 16:53:45 | INFO | gradio_web_server | All models: []
2024-07-30 16:53:45 | INFO | gradio_web_server | Visible models: []
2024-07-30 16:53:46 | ERROR | stderr | /home/aac/anaconda3/envs/kai_vllm/lib/python3.11/site-packages/gradio/components/dropdown.py:181: UserWarning: The value passed into gr.Dropdown() is not in the list of choices. Please update the list of choices to include:  or set allow_custom_value=True.
2024-07-30 16:53:46 | ERROR | stderr |   warnings.warn(
2024-07-30 16:53:46 | INFO | stdout | Running on local URL:  http://127.0.0.1:7860
2024-07-30 16:53:46 | INFO | stdout | Running on public URL: https://415f0adda340bbaf76.gradio.live
2024-07-30 16:53:46 | INFO | stdout | 
2024-07-30 16:53:46 | INFO | stdout | This share link expires in 72 hours. For free permanent hosting and GPU upgrades, run `gradio deploy` from Terminal to deploy to Spaces (https://huggingface.co/spaces)
2024-07-30 17:00:30 | INFO | stdout | Keyboard interruption in main thread... closing server.
2024-07-30 17:00:30 | INFO | stdout | Killing tunnel 127.0.0.1:7860 <> https://415f0adda340bbaf76.gradio.live
2024-07-30 17:01:54 | INFO | gradio_web_server | args: Namespace(host='127.0.0.1', port=None, share=True, controller_url='http://localhost:21001', concurrency_count=10, model_list_mode='once', moderate=False, show_terms_of_use=False, register_api_endpoint_file=None, gradio_auth_path=None, gradio_root_path=None, use_remote_storage=False)
2024-07-30 17:01:54 | INFO | gradio_web_server | All models: ['medalpaca']
2024-07-30 17:01:54 | INFO | gradio_web_server | Visible models: ['medalpaca']
2024-07-30 17:01:54 | INFO | stdout | Running on local URL:  http://127.0.0.1:7860
2024-07-30 17:01:55 | INFO | stdout | Running on public URL: https://21e1d0bbab8676dfc3.gradio.live
2024-07-30 17:01:55 | INFO | stdout | 
2024-07-30 17:01:55 | INFO | stdout | This share link expires in 72 hours. For free permanent hosting and GPU upgrades, run `gradio deploy` from Terminal to deploy to Spaces (https://huggingface.co/spaces)
2024-07-30 17:02:06 | INFO | gradio_web_server | load_demo. ip: 60.251.194.115. params: {}
2024-07-30 17:02:15 | INFO | gradio_web_server | add_text_symptom. ip: 60.251.194.115. len: 21
2024-07-30 17:02:15 | ERROR | stderr | Traceback (most recent call last):
2024-07-30 17:02:15 | ERROR | stderr |   File "/home/aac/anaconda3/envs/kai_vllm/lib/python3.11/site-packages/gradio/queueing.py", line 521, in process_events
2024-07-30 17:02:15 | ERROR | stderr |     response = await route_utils.call_process_api(
2024-07-30 17:02:15 | ERROR | stderr |                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2024-07-30 17:02:15 | ERROR | stderr |   File "/home/aac/anaconda3/envs/kai_vllm/lib/python3.11/site-packages/gradio/route_utils.py", line 276, in call_process_api
2024-07-30 17:02:15 | ERROR | stderr |     output = await app.get_blocks().process_api(
2024-07-30 17:02:15 | ERROR | stderr |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
